BUNDESAMT FUER LANDESTOPOGRAFIE SWISSTOPO - DREIECKSVERMASCHUNG CHENyx06
FUER DIE KOORDINATENTRANSFORMATION LV03 <-> LV95 UEBER FINITE ELEMENTE
DREIECKSVERMASCHUNGSDEFINITION:                 STAND DER NACHFUERUNG:  03.2007
AG0189 10502201       10503271       10503071       2006
AG0190 10500010       10503071       10504051       2006
AG0191 10503071       10504181       10504051       2006
AG0192 10503071       10503271       10504181       2006
AG0193 10500010       10504051       10506011       2006
AG0194 10505101       10504181       10503271       2006
AG0195 10504051       10504181       10505101       2006
AG0196 10504051       10505101       10506011       2006
AG0197 10502201       10501240       10502301       2006
AG0198 10502201       10502301       10503271       2006
AG0199 10498321       10698081       10500311       2006
AG0200 10500311       10698081       10701081       2006
AG0201 10500311       10701081       10502301       2006
AG0202 10701081       10704041       10502301       2006
AG0203 10502301       10704041       10503271       2006
AG0204 10704041       10505190       10503271       2006
AG0205 10700201       10702211       10701081       2006
AG0206 10701081       10702211       10703031       2006
AG0207 10701081       10703031       10704041       2006
AG0208 10702211       10702281       10703031       2006
AG0209 10702281       10704241       10703031       2006
AG0210 10703031       10704241       10706211       2006
AG0211 10705191       10703031       10706211       2006
AG0212 10704041       10703031       10705131       2006
AG0213 10705191       10705131       10703031       2006
AG0214 10705191       10706041       10705131       2006
AG0215 10705021       10705131       10706041       2006
AG0216 10705021       10505190       10705131       2006
AG0217 10704041       10705131       10505190       2006
AG0218 10705021       10506191       10505190       2006
AG0219 10505101       10505190       10506191       2006
AG0220 10505101       10503271       10505190       2006
AG0221 10505101       10507031       10506011       2006
AG0222 10510121       10506011       10507031       2006
AG0223 10510121       10511010       10506011       2006
AG0224 10510121       10511070       10511010       2006
AG0225 10505101       10506191       10507031       2006
AG0226 10510121       10507031       10506191       2006
AG0227 10510121       10506191       10508111       2006
AG0228 10510121       10508111       10510211       2006
AG0229 10510121       10510211       10510181       2006
AG0230 10510121       10510181       10511070       2006
AG0232 10510211       10508111       10710050       2006
AG0233 10706041       10508111       10506191       2006
AG0234 10706041       10707131       10508111       2006
AG0235 10710050       10508111       10707131       2006
AG0236 10702491       10704341       10704241       2006
AG0237 10705361       10704241       10704341       2006
AG0238 10705361       10706211       10704241       2006
AG0239 10705361       10707351       10706211       2006
AG0240 10705361       10706431       10707351       2006
AG0241 10706211       10707351       10707201       2006
AG0242 10702491       10703461       10704341       2006
AG0243 10704441       10704341       10703461       2006
AG0244 10704441       10703461       10705711       2006
AG0245 10705361       10704341       10705582       2006
AG0246 10705361       10705582       10706431       2006
AG0247 10705582       10705711       10709000       2006
AG0248 10705582       10709000       10706431       2006
AG0249 10707450       10706431       10709000       2006
